agency,state,year,months_reported,population,latitude,longitude,source_file,violent_crime_rate,property_crime_rate,homicide_rate,coverage_ratio,safety_score,safety_label
Concord Police Dept,CA,,12,125205,38.0363,120.4013,crime_population.csv,321.0734395591231,3340.1221995926685,0.0,1.0,0.8615933817039543,Medium
Coral Springs Police Dept,FL,,12,125021,26.2712,80.2706,crime_population.csv,183.16922756976828,2255.621055662649,0.7998656225754074,1.0,0.9264274889845899,High
Corona Police Dept,CA,,12,157342,33.8753,117.5664,crime_population.csv,133.46722426307025,2633.117667247143,0.6355582107765251,1.0,0.9213897552995439,High
Costa Mesa Police Dept,CA,,12,112635,33.6411,117.9187,crime_population.csv,225.50716917476805,3621.43205930661,3.5512940027522526,1.0,0.8567079133561125,Medium
Daly City Police Dept,CA,,12,103311,37.6879,122.4702,crime_population.csv,209.0774457705375,1745.2159015012924,0.0,1.0,0.944100661241487,High
Davenport Police Dept,IA,,12,101193,41.5236,90.5776,crime_population.csv,596.8792307768324,4039.805124860416,3.9528425879260425,1.0,0.7711205187713335,Medium
Dayton,OH,,12,142139,39.7589,84.1916,crime_population.csv,973.694763576499,5899.155052448659,16.884880293234087,1.0,0.5880992805054981,Low
Denton Police Dept,TX,,12,118942,33.2148,97.1331,crime_population.csv,310.235240705554,2742.513157673488,0.8407459097711489,1.0,0.8840941762903324,High
Des Moines Police Dept,IA,,12,207400,41.6005,93.6091,crime_population.csv,527.4831243972999,4922.854387656702,3.375120540019286,1.0,0.7513744201482833,Low
Downey Police Dept,CA,,12,113628,33.9401,118.1332,crime_population.csv,335.304678424332,3112.789101277854,5.280388636603654,1.0,0.8507857175365924,Medium
Durham Police Dept,NC,,12,235563,35.994,78.8986,crime_population.csv,725.9204544007335,4363.588509231076,8.914812597903746,1.0,0.7188876457449491,Low
Edison Twp Police Dept,NJ,,12,101007,40.5187,74.4121,crime_population.csv,120.78370805983744,1466.235013414912,0.0,1.0,0.97111838103163,High
El Cajon Police Dept,CA,,12,101864,32.7948,116.9625,crime_population.csv,358.32089845283906,2369.826435246996,1.963402183303228,1.0,0.886149022482444,High
El Monte Police Dept,CA,,12,115356,34.0686,118.0276,crime_population.csv,342.41825306009224,1933.1460868962167,3.467526613266757,1.0,0.9011822187705727,High
Elgin Police Dept,IL,,12,109155,42.0354,88.2826,crime_population.csv,235.44500939031653,1815.7665704731803,1.8322568824149144,1.0,0.9306166806657917,High
Elizabeth Police Dept,NJ,,12,126281,40.664,74.2107,crime_population.csv,797.4279582835105,3445.490612206112,11.086386709006106,1.0,0.734466816314422,Low
