agency,state,year,months_reported,population,violent_crime_total,property_crime_total,homicide_total,latitude,longitude,source_file
Fullerton Police Dept,CA,,12,138455,452,3937,0,33.8704,117.9243,crime_population.csv
Gainesville Police Dept,FL,,12,127036,851,5201,6,29.6516,82.3248,crime_population.csv
Garden Grove Police Dept,CA,,12,175079,439,4017,1,33.7739,117.9414,crime_population.csv
Garland Police Dept,TX,,12,234984,540,8675,7,32.9126,96.6389,crime_population.csv
Gilbert Police Dept,AZ,,12,214264,205,3386,5,33.3528,117.789,crime_population.csv
Glendale Police Dept,AZ,,12,232997,1145,14934,12,34.1425,118.2551,crime_population.csv
Glendale Police Dept,CA,,12,194902,233,3043,0,33.5387,112.186,crime_population.csv
Grand Prairie Police Dept,TX,,12,181782,499,5246,1,32.746,96.9978,crime_population.csv
Grand Rapids Police Dept,MI,,12,189953,1465,6618,16,42.9634,85.6681,crime_population.csv
Green Bay Police Dept,WI,,12,106080,514,2978,1,44.5192,88.0198,crime_population.csv
Gresham Police Dept,OR,,12,108202,487,4858,4,45.5001,122.4302,crime_population.csv
Hampton Police Dept,VA,,12,137905,314,4657,9,37.0299,76.3452,crime_population.csv
Hartford Police Dept,CT,,12,125203,1655,5319,23,41.7637,72.6851,crime_population.csv
Hayward Police Dept,CA,,12,147424,613,4792,6,37.6688,112.0808,crime_population.csv
Hialeah Police Dept,FL,,12,233107,810,7194,4,25.8576,80.2781,crime_population.csv
High Point Police Dept,NC,,12,106801,556,4417,5,35.9557,80.0053,crime_population.csv
Hollywood Police Dept,FL,,12,145313,643,7713,5,26.0112,80.1495,crime_population.csv
Huntington Beach Police Dept,CA,,12,194677,313,5470,3,33.6603,117.9992,crime_population.csv
Huntsville Police Dept,AL,,12,183691,1696,9261,14,34.7304,86.5861,crime_population.csv
Independence Police Dept,MO,,12,117433,537,7152,5,39.0911,94.4155,crime_population.csv
Inglewood Police Dept,CA,,12,111488,780,2673,14,33.9617,118.3531,crime_population.csv
Irvine Police Department,CA,,12,217528,110,3304,2,33.6839,117.7947,crime_population.csv
Irving Police Dept,TX,,12,224007,507,6307,3,32.814,96.9489,crime_population.csv
Jackson Police Dept,MS,,12,175939,1668,11568,63,32.2988,90.1848,crime_population.csv
Joliet,IL,,12,148471,506,3835,11,41.525,88.0817,crime_population.csv
Kansas City Police Dept,KS,,12,147201,877,7538,15,39.0997,94.5786,crime_population.csv
Kent Police Dept,WA,,12,122102,543,5468,2,47.3809,122.2348,crime_population.csv
Killeen Police Dept,TX,,12,131965,851,4986,12,31.1171,97.7278,crime_population.csv
Knoxville Police Dept,TN,,12,182254,1774,12169,18,35.9606,83.9207,crime_population.csv
Lafayette Police Dept,LA,,12,122852,779,6815,11,30.2241,92.0198,crime_population.csv
Lakewood,CO,,12,146404,676,6705,2,39.7047,105.0814,crime_population.csv
Lancaster,CA,,12,159155,859,3498,8,40.0379,76.3055,crime_population.csv
Lansing City Police Dept,MI,,12,114688,1078,3774,13,42.7325,84.5555,crime_population.csv
Laredo,TX,,12,245558,1036,10685,8,27.5306,99.4803,crime_population.csv
Lewisville Police Dept,TX,,12,100216,168,2591,2,33.0462,96.9942,crime_population.csv
Little Rock Police Dept,AR,,12,196055,2579,15804,45,34.7465,92.2896,crime_population.csv
Lowell Police Dept,MA,,12,108539,585,3125,0,42.6334,71.3162,crime_population.csv
Lubbock Police Dept,TX,,12,237241,1962,12273,11,33.5779,101.8552,crime_population.csv
Madison City Police Dept,WI,,12,237508,897,7753,3,43.0731,89.4012,crime_population.csv
Manchester Police Dept,NH,,12,110040,624,3848,1,42.9956,71.4548,crime_population.csv
Mcallen Police Dept,TX,,12,135745,166,5465,1,26.2034,98.23,crime_population.csv
Mckinney Police Dept,TX,,12,138105,229,2786,0,33.1972,96.6398,crime_population.csv
Mesquite Police Dept,TX,,12,144811,442,6285,2,32.7668,96.5992,crime_population.csv
Midland Police Dept,TX,,12,115637,398,3008,4,31.9973,102.0779,crime_population.csv
Miramar Police Dept,FL,,12,125998,537,2984,2,25.9861,80.3036,crime_population.csv
Modesto Police Dept,CA,,12,204631,1590,11276,20,37.6391,120.9963,crime_population.csv
Montgomery Police Dept,AL,,12,209018,827,12058,44,32.3668,86.3,crime_population.csv
Moreno Valley,CA,,12,199673,706,6371,5,33.9425,117.2297,crime_population.csv
Murfreesboro Police Dept,TN,,12,112247,701,4006,3,35.8456,86.3903,crime_population.csv
City Of Murrieta Police Dept,CA,,12,106839,70,1715,1,33.5539,117.2139,crime_population.csv
Naperville Police Dept,IL,,12,142840,119,2044,3,41.7508,88.1535,crime_population.csv
New Haven Police Dept,CT,,12,129934,1870,6516,17,41.3083,72.9279,crime_population.csv
Newport News Police Dept,VA,,12,181591,754,5722,20,33.6189,117.9289,crime_population.csv
Norfolk Police Dept,VA,,12,245303,1332,11391,34,36.8508,7602859.0,crime_population.csv
Norman Police Dept,OK,,12,113969,173,3050,1,35.2226,97.4395,crime_population.csv
North Charleston Police Dept,SC,,12,100675,737,5757,13,32.8546,79.9748,crime_population.csv
North Las Vegas Police Dept,NV,,12,221884,1695,5534,14,36.1989,115.1175,crime_population.csv
Norwalk,CA,,12,107295,433,2609,11,41.1177,73.4082,crime_population.csv
Oceanside,CA,,12,171141,728,4289,8,33.1959,117.3795,crime_population.csv
Odessa Police Dept,TX,,12,103635,1103,3717,5,31.8457,102.3676,crime_population.csv
Olathe Police Dept,KS,,12,128560,191,2480,0,38.8814,94.8191,crime_population.csv
Ontario Police Dept,CA,,12,167933,534,5056,3,34.0633,117.6509,crime_population.csv
Orange Police Dept,CA,,12,139692,135,2833,4,33.7175,117.8311,crime_population.csv
Orlando Police Dept,FL,,12,246513,2508,16304,24,28.5383,81.3792,crime_population.csv
City Of Overland Park Police Dept,KS,,12,177085,285,4079,2,38.9822,94.6708,crime_population.csv
